"","AV","OPC","Proportion"
"1",2.10511064985832e-08,0,0.041
"2",0.000348833211268654,0,0
"3",0.708885396283522,13.75,0.0955
"4",0.0942285610927977,6.3,0.073
"6",0.180498796727509,6.85,0.1545
"7",0.00160369807473205,0,0
"8",0.000772152266397521,0,0.043
"9",0.866421099444831,23,0.0805
"10",0.852226306603061,15.7,0.3105
"12",0.19841682243552,5.65,0.0868038133467135
"13",0.135837009114535,7.9,0.058
"14",0.417929236012541,8.8,0.3435
"15",0.527263459405997,9.2,0.0605
"16",0.0473540827031975,5.3,0.0617469879518072
"17",0.0881591636342448,6.8,0.113207547169811
"18",0.0693881163181726,6.3,0.1145
"20",0.00171572989634639,0.1,0
"23",0.000979329482674136,0,0
"24",0.000965271889678968,0,0.0035
"25",1.12917500086364e-05,0,0.01
"28",0.751883578502492,13.15,0.1055
"29",0.12882648424376,11.9,0.0104106419895894
"31",0.387854399575361,8.85,0.143
"32",0.110377339359059,6.45,0.023
"33",0.081754254337117,4.25,0.111
"34",0.691946623297022,14.35,0.178713716562322
"35",0.12448774233398,8.1,0.00607399226946438
"36",0.686642283507753,13.5,0.1945
"38",0.916450857103468,17.5,0.5675
"39",0.195013879985354,11.2,0.237217598097503
"41",0.382616014995112,8.9,0.1105
"43",0.0646085993870015,4.95,0.0277932184546971
"45",0.190680231016716,11.55,0.209
"46",0.0394340148438373,6.2,0.0145
"49",0.144967233931858,6,0.05
"50",0.556140930650311,9.95,0.265
"54",0.432910988863313,8.4,0.1935
"56",0.457003711773574,7.75,0.1955
"58",0.196366140258594,11.65,0.115
"60",0.371053845923711,9.55,0.1805
"61",0.168559924123632,12.25,0.0445
"64",0.634894071988824,9.65,0.1375
"66",0.0675377232535517,7.6,0.1345
"68",0.644871325287803,12.25,0.1165
"69",0.304221801427581,8.9,0.2755
"70",0.288248626573848,7,0.203
"72",0.267447076259358,6.3,0.298
"74",0.0643939770509806,6.15,0.0185
"75",0.352004313511678,8.45,0.259
"76",0.647617398422968,10.75,0.1835
"79",0.32884294105719,6.45,0.395
"80",0.106948906641364,4.75,0.0725
"81",0.643392432955502,23.15,0.208
"82",0.728008940685167,14.05,0.085
"83",0.115007720419921,10.35,0.0155239327296248
"85",0.252244214679662,8.85,0.048
"86",0.790496121656622,10.5,0.4795
"88",0.108238790035236,6.5,0.0185
"89",0.386651274537437,10.6,0.374
"91",0.414128742905316,8.8,0.2035
"93",0.574245242727811,10.55,0.169
"94",0.209011640564654,13.35,0.1475
"97",0.108920101522143,6.4,0.0315
"98",0.0394324336396833,3.55,0.0185
"100",0.756730642383979,14.5,0.103
"102",0.132825231028861,7.15,0.025219298245614
"107",0.157336635749397,11.25,0.053
"108",0.0867952858651272,6.45,0.009
"109",0.257006486825495,16.35,0.044
"112",0.72371034992338,13.05,0.1205
"113",0.0661779629535232,5.65,0.0155
"115",0.677612325119939,11.1,0.061
"118",0.0666666595941368,7.25,0.0065
"120",0.0755086708614542,6.3,0.0534623217922607
"122",0.0586067383606747,4.1,0.129398410896708
"123",0.104102496178713,6.75,0.0675
"126",0.211416717307105,11.2,0.114285714285714
"127",0.128349471451838,5.6,0.1225
"135",0.407812684504115,9.55,0.177
"139",0.0664237133778116,6.45,0.0128932439401753
"141",0.376071328658074,7.5,0.243
"142",0.713555241422958,12.25,0.1365
"143",0.13009991509754,6.4,0.065
"146",0.0945900654066888,4.3,0.1725
"147",0.136586063902536,6.55,0.091
"148",0.6944397144275,10.5,0.0705
"151",0.0728146742537853,7.35,0.0125
"152",0.108549905630523,5.75,0.036
"156",0.456088498938275,10.3,0.1835
"172",0.0456707728141758,1.9,0.029
"173",0.104275583800867,5.25,0.0145
"174",0.937414812005794,18.55,0.29
"175",0.111268727858839,10.65,0.0685
"176",0.00482460002289923,0.1,0.033
"178",0.191501159194152,8.4,0.2025
"182",0.115971522195157,7.05,0.079914757591902
"186",0.416908573152895,10,0.116
"187",0.322504379228403,7.35,0.1785
"190",0.419699292394399,10.3,0.21
"192",0.731571068883617,12.75,0.251
"195",0.000625212672701444,0,0.0235
"199",0.289322089463205,6.6,0.2215
"201",4.0696275117292e-08,0,0.004
"202",0.865518957218255,14.2,0.2365
"203",0.0755269899166663,2,0.055
"204",0.759554542505956,11.9,0.045
"205",0.391894449669015,10.6,0.1835
"208",0.770299256808096,15.3,0.1885
"209",0.356140961244652,8.3,0.215
"210",0.0618769011579749,6.85,0.052
"213",0.77038543591409,13.3,0.1815
"217",0.00307660888384284,0,0.0199004975124378
"218",0.350268433720907,7.4,0.118
"219",0.463522719603112,10.65,0.1935
"220",0.254279648849912,7.45,0.2045
"222",0.307223733937845,8.05,0.453
"223",0.544806118706566,9.3,0.2325
"224",0.759004436202824,19,0.1875
"226",0.428795900725251,8.75,0.4955
"227",0.709780332024468,15.5,0.1705
"230",0.662567737653438,14.65,0.197
"232",0.433750664907721,10.4,0.153
"234",0.57584962679868,13,0.240021287919106
"235",0.161320929890843,6.55,0.117441860465116
"236",0.616267133736985,14.25,0.349
"237",0.220258445341309,18.15,0.1515
"238",0.348577859039087,15.85,0.354
"239",0.454964945182731,8.65,0.0815
"240",0.654876742868332,10.2,0.071
"241",0.770730133192653,15.7,0.12
"245",0.738157746749937,13.95,0.1945
"247",0.138196336437111,5.35,0.031
"251",0.0836036500540029,5.75,0.0269423558897243
"252",0.906923977233558,24.85,0.037
"256",0.0016844054680657,0,0.0055
"257",0.646362711817612,30.4,0.001
"259",0.298956318302266,7.5,0.216
"260",0.629967919985174,11.3,0.126
"262",0.85477378852498,16.3,0.0925
"263",0.0612445579636699,4.15,0.049
"264",0.283494707873125,6.9,0.1415
"265",0.0267466285598571,0.25,0.00512557662737058
"269",0.693732848091248,11.05,0.156
"272",0.0236089407759686,1.5,0.008
"273",0.428249412426271,8.4,0.3785
"275",0.483548895569659,8.9,0.09
"276",0.00026845558421987,0,0.1555
"277",0.1941074204605,14.05,0.2195
"279",0.220980507085276,12,0.369040942232193
"280",0.682921998210564,12.2,0.091
"281",0.749539956349698,14,0.111
"282",0.0841524926698938,4.1,0.163113006396588
"283",0.120491881048607,5.45,0.157121135326913
"287",0.0491246532024462,6.05,0.043
"288",0.698385976735022,23.5,0.17167051578137
"289",0.142365471099647,5.75,0.220119521912351
"292",0.561704269394992,10.35,0.308
"294",0.34345145188014,10.05,0.098
"295",0.54312499554468,10.45,0.2835
"299",0.579722009644694,10,0.1685
"301",0.206152485049316,8.4,0.10509138381201
"303",0.0585354377716364,4.5,0.1705
"304",0.409402461260249,8.4,0.165
"305",0.683905404911388,11.95,0.208
"308",0.17692010039679,12.8,0.0525
"310",0.301856971922838,15.65,0.2425
"312",0.863181016136843,16.8,0.2185
"314",0.19801438092215,7.7,0.213135068153656
"316",0.706440328665564,13.15,0.2445
"317",0.698404301455092,12.7,0.1435
"320",0.0506360142521136,3.05,0.0205
"321",0.420553761896974,11.25,0.0568720379146919
"322",0.97404705553957,21.55,0.151
"323",0.738792695281043,15.8,0.136
"324",0.69738583549094,12.1,0.317
"325",0.732142582051708,13.15,0.161
"326",0.817782585730793,15.65,0.199678800856531
"328",0.224509162107361,7.55,0.159
"331",0.102655381982483,3.75,0.0085
"332",0.0114098736525372,0.1,0.0055
"333",0.510269465472092,11.1,0.1875
"335",0.109719512943034,5.05,0.0235
"336",0.235870983799236,6.95,0.267
"338",0.000690498685512226,0.1,0.0085
